    2016v3 --> 164408000 events
      2017 --> 101520000 events
      2018 --> 93446000 events
    2016v2 --> 89743000 events

recommended       type    mass         V2    ctau (mm)  ctauRatioToTheory   events                cross section  miniAOD directory
          *      dirac    10.0      1e-06       7.9184               0.94   200000       2.405e-03 +- 1.065e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-10_V-0.001_e_Dirac_massiveAndCKM_LO
          *      dirac    10.0      1e-06       7.9184               0.94   150000       2.403e-03 +- 1.074e-06   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-10_V-0.001_e_Dirac_massiveAndCKM_LO
          *      dirac    10.0      1e-06       7.9223               0.99   100000       2.405e-03 +- 1.055e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-10_V-0.001_mu_Dirac_massiveAndCKM_LO
          *      dirac    10.0      1e-06       7.9223               0.99   200000       2.401e-03 +- 1.072e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-10_V-0.001_mu_Dirac_massiveAndCKM_LO
          *      dirac    10.0      1e-06       7.9223               0.99   198000       2.399e-03 +- 1.064e-06   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-10_V-0.001_mu_Dirac_massiveAndCKM_LO
          *      dirac     8.0      1e-06      25.0274               0.94   100000       2.387e-03 +- 1.068e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-8_V-0.001_e_Dirac_massiveAndCKM_LO
          *      dirac     8.0      1e-06      25.0274               0.94   200000       2.389e-03 +- 1.058e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-8_V-0.001_e_Dirac_massiveAndCKM_LO
          *      dirac     8.0      1e-06      25.0274               0.94   199000       2.391e-03 +- 1.063e-06   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-8_V-0.001_e_Dirac_massiveAndCKM_LO
          *      dirac     8.0      1e-06      25.0601               0.98   100000       2.389e-03 +- 1.045e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-8_V-0.001_mu_Dirac_massiveAndCKM_LO
          *      dirac     8.0      1e-06      25.0601               0.98   199000       2.390e-03 +- 1.047e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-8_V-0.001_mu_Dirac_massiveAndCKM_LO
          *      dirac     8.0      1e-06      25.0601               0.98   192000       2.393e-03 +- 1.039e-06   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-8_V-0.001_mu_Dirac_massiveAndCKM_LO
          *      dirac     5.0      1e-06     294.3042               0.97   100000       2.325e-03 +- 1.023e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-5_V-0.001_e_Dirac_massiveAndCKM_LO
          *      dirac     5.0      1e-06     294.3042               0.97   200000       2.329e-03 +- 1.015e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-5_V-0.001_e_Dirac_massiveAndCKM_LO
          *      dirac     5.0      1e-06     294.3042               0.97   190000       2.327e-03 +- 1.019e-06   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-5_V-0.001_e_Dirac_massiveAndCKM_LO
          *      dirac     5.0      1e-06     295.1300               1.01   100000       2.324e-03 +- 1.022e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-5_V-0.001_mu_Dirac_massiveAndCKM_LO
